K=2, W/V=1.2342266, B=1, time:0.064

1    2    
240 1.00000000 0.00000000 
242 1.00000000 0.00000000 
243 1.00000000 0.00000000 
245 1.00000000 0.00000000 
246 1.00000000 0.00000000 
248 1.00000000 0.00000000 
249 1.00000000 0.00000000 
251 1.00000000 0.00000000 
252 1.00000000 0.00000000 
254 1.00000000 0.00000000 
255 1.00000000 0.00000000 
257 1.00000000 0.00000000 
258 1.00000000 0.00000000 
260 1.00000000 0.00000000 
261 1.00000000 0.00000000 
263 1.00000000 0.00000000 
264 1.00000000 0.00000000 
266 1.00000000 0.00000000 
267 1.00000000 0.00000000 
269 1.00000000 0.00000000 
270 1.00000000 0.00000000 
272 1.00000000 0.00000000 
273 1.00000000 0.00000000 
275 1.00000000 0.00000000 
276 1.00000000 0.00000000 
278 1.00000000 0.00000000 
279 1.00000000 0.00000000 
281 1.00000000 0.00000000 
282 1.00000000 0.00000000 
284 1.00000000 0.00000000 
285 1.00000000 0.00000000 
287 1.00000000 0.00000000 
288 1.00000000 0.00000000 
290 1.00000000 0.00000000 
291 1.00000000 0.00000000 
293 1.00000000 0.00000000 
294 1.00000000 0.00000000 
296 1.00000000 0.00000000 
297 1.00000000 0.00000000 
299 1.00000000 0.00000000 
300 1.00000000 0.00000000 
302 1.00000000 0.00000000 
303 1.00000000 0.00000000 
305 1.00000000 0.00000000 
306 1.00000000 0.00000000 
308 1.00000000 0.00000000 
309 1.00000000 0.00000000 
311 1.00000000 0.00000000 
312 1.00000000 0.00000000 
314 1.00000000 0.00000000 
315 1.00000000 0.00000000 
317 1.00000000 0.00000000 
318 1.00000000 0.00000000 
320 1.00000000 0.00000000 
321 1.00000000 0.00000000 
323 1.00000000 0.00000000 
324 1.00000000 0.00000000 
326 1.00000000 0.00000000 
327 1.00000000 0.00000000 
329 1.00000000 0.00000000 
330 1.00000000 0.00000000 
332 1.00000000 0.00000000 
333 1.00000000 0.00000000 
335 1.00000000 0.00000000 
336 1.00000000 0.00000000 
338 1.00000000 0.00000000 
339 1.00000000 0.00000000 
341 1.00000000 0.00000000 
342 1.00000000 0.00000000 
344 1.00000000 0.00000000 
345 1.00000000 0.00000000 
347 1.00000000 0.00000000 
348 1.00000000 0.00000000 
350 1.00000000 0.00000000 
351 1.00000000 0.00000000 
353 1.00000000 0.00000000 
354 1.00000000 0.00000000 
356 1.00000000 0.00000000 
357 1.00000000 0.00000000 
